,University,Canton
2,"NPO (Biblioth., Museen, Verwalt.) - NPO",
29,"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",
56,Inst. de Hautes Etudes Internat. et du Dév - IHEID,
83,Weitere Institute - FINST,
89,Firmen/Privatwirtschaft - FP,
138,Pädagogische Hochschule Graubünden - PHGR,
207,Pädagogische Hochschule Zürich - PHZFH,ZH
674,Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,
704,SUP della Svizzera italiana - SUPSI,
748,HES de Suisse occidentale - HES-SO,
920,Robert Walser-Stiftung Bern - RWS,BE
1494,Paul Scherrer Institut - PSI,AG
1707,Pädagogische Hochschule St. Gallen - PHSG,SG
1793,Eidg. Anstalt für Wasserversorgung - EAWAG,
1851,Eidg. Material und Prüfungsanstalt - EMPA,
2131,Physikal.-Meteorolog. Observatorium Davos - PMOD,GR
2471,Berner Fachhochschule - BFH,
2634,Swiss Center for Electronics and Microtech. - CSEM,
4872,Weitere Spitäler - ASPIT,
4900,AO Research Institute - AORI,-
4961,Allergie- und Asthmaforschung - SIAF,
5090,Forschungsinstitut für biologischen Landbau - FIBL,
5136,Friedrich Miescher Institute - FMI,
5187,Kantonsspital St. Gallen - KSPSG,SG
5292,Forschungsanstalten Agroscope - AGS,
5847,Ente Ospedaliero Cantonale - EOC,
6072,Inst. universit. romand de Santé au Travail - IST,
8266,Eidg. Hochschulinstitut für Berufsbildung - EHB,
8470,Zürcher Fachhochschule (ohne PH) - ZFH,
8717,Università della Svizzera italiana - USI,
8770,Institut für Kulturforschung Graubünden - IKG,
8825,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,
9088,Interkant. Hochschule für Heilpädagogik ZH - HfH,
11071,Centre de rech. sur l'environnement alpin - CREALP,
14364,Idiap Research Institute - IDIAP,
15515,Pädagogische Hochschule Bern - PHBern,BE
16655,Institut Universitaire Kurt Bösch - IUKB,
18035,Schweizer Paraplegiker Forschung - SPF,
18550,Hochschule Luzern - HSLU,LU
19141,Forschungsinstitut für Opthalmologie - IRO,
19316,Haute école pédagogique du canton de Vaud - HEPL,
26433,Fachhochschule Ostschweiz - FHO,
27814,Inst. Suisse de Spéléologie et Karstologie - ISSKA,
27895,Swiss Institute of Bioinformatics - SIB,
28169,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",
28178,Pädagogische Hochschule Luzern - PHLU,LU
31512,Forschungskommission SAGW,
32142,Istituto Svizzero di Roma - ISR,-
33524,Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,TI
35067,Haute école pédagogique fribourgeoise - HEPFR,
35261,Pädagogische Hochschule Schwyz - PHSZ,SZ
36021,Pädagogische Hochschule Thurgau - PHTG,TG
37364,Biotechnologie Institut Thurgau - BITG,TG
40511,Fachhochschule Kalaidos - FHKD,
41018,Schweizer Kompetenzzentrum Sozialwissensch. - FORS,
41467,Pädagogische Hochschule Wallis - PHVS,
43711,Schweiz. Hochschule für Logopädie Rorschach - SHLR,
45038,Pädagogische Hochschule Zug - PHZG,
45205,Instituto Ricerche Solari Locarno - IRSOL,TI
45459,Franklin University Switzerland - FUS,
47601,Pädagogische Hochschule Schaffhausen - PHSH,SH
48266,Pädagogische Hochschule Nordwestschweiz - PHFHNW,
48769,Staatsunabh. Theologische Hochschule Basel - STHB,BS
51199,Facoltà di Teologia di Lugano - FTL,TI
53016,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,
